Dataset,Model,recall@10,recall@20,recall@50,ndcg@10,ndcg@20,ndcg@50,precision@10,precision@20,precision@50
Beauty,DiffMM,0.041393041943868183,0.06852229402304515,0.12219466766286995,0.022272771825729298,0.029544369075734413,0.04099419589602278,0.005825404773827409,0.00471540644299783,0.0033650475713570376
Beauty,LATTICE,0.050112072871211576,0.0725322110149351,0.1147628188314217,0.0306723075092922,0.03675212566232475,0.04570800872666952,0.006810215322984478,0.004949090302119849,0.0031513937573026223
Beauty,MICRO,0.0482747931420941,0.07330042683072227,0.1201602006183879,0.02826208442323911,0.03492859827783234,0.04491937167911202,0.006693373393423471,0.005040894675346354,0.0033183107995326338
Clothing,DiffMM,0.02327132327132327,0.04130981630981631,0.08187877116448546,0.012567197281741493,0.01736220463366988,0.025858519951773646,0.0031239031239031242,0.0027465777465777467,0.0021656721656721665
Clothing,LATTICE,0.03331327617041903,0.046819477176620036,0.07080763509334938,0.018200790614950783,0.021832713832584876,0.026888571473685934,0.004352404352404353,0.0030800280800280804,0.0018638118638118646
Clothing,MICRO,0.031325736682879544,0.04614672650386936,0.07873125908840194,0.016981938101741888,0.020977403863764642,0.027827038736743172,0.00415935415935416,0.003053703053703054,0.0020673920673920684
Electronics,DiffMM,0.05192923019009974,0.08186564538171343,0.1388055548736078,0.029858684946787204,0.03791617616760553,0.0501423788636689,0.007269290256057745,0.005662484963052075,0.0038357106031964273
Electronics,LATTICE,0.057908002520478896,0.08551297473792747,0.13763246835080484,0.032508787080556434,0.040014239850523714,0.05109273379529083,0.008042619006702185,0.005928853754940713,0.0038288365698573657
Electronics,MICRO,0.06224437188520364,0.08641519161367932,0.1376827960948944,0.035287623271049395,0.04188013063128032,0.052795109550349176,0.008712837257260702,0.006057741880048122,0.0038425846365354897
